['Topic','Frequency']
[0,0.11674]
[1,0.14789]
[2,0.23509]
[3,0.27204]
[4,0.03324]
[5,0.80022]
[6,0.04075]
[7,0.53166]
[8,0.51253]
[9,0.14019]
[10,0.17316]
[11,0.62813]
[12,0.03292]
[13,0.12512]
[14,0.13638]
[15,0.89825]
[16,0.0407]
[17,0.09722]
[18,0.08424]
[19,0.62795]
[20,0.44907]
[21,0.30155]
[22,0.10972]
[23,0.43278]
[24,0.36369]
