#doc name topic proportion ...
0	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/.DS_Store	2	0.2562318482002751	19	0.24823657158782986	16	0.12213042060803939	14	0.04007175552014211	18	0.03456571268027871	23	0.03172986088244357	21	0.025689885948990666	7	0.020946408831571534	8	0.01885258901633826	22	0.017904514274187697	6	0.017238432871236557	0	0.016712116090080185	24	0.014112637918002558	3	0.013992712985117884	4	0.013675859947545405	13	0.013434838624984471	11	0.012931430723314504	9	0.012738631620493669	15	0.011620749670166249	5	0.011306298527875838	1	0.011046452334421655	10	0.010012959857161158	12	0.00845299541404638	17	0.008310602972052303	20	0.008053712893404263	
1	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/.txt	11	0.5966102184764621	16	0.3741076185853861	14	0.01269521467318433	18	0.001603273032559353	23	0.001471736768462646	21	0.0011915825874188246	2	0.0010483346552847045	7	9.715642989702395E-4	8	8.744459529418293E-4	22	8.304710845223537E-4	6	7.995760076373873E-4	0	7.751636800335392E-4	19	6.774870613365107E-4	24	6.545912130177907E-4	3	6.490286946747165E-4	4	6.34331994070759E-4	13	6.231526213117474E-4	9	5.90860218556925E-4	15	5.390091255063431E-4	5	5.244238328160135E-4	1	5.123712997630502E-4	10	4.6443447191659045E-4	12	3.9207811848244426E-4	17	3.854734821365654E-4	20	3.735580635471075E-4	
2	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/1.txt	23	0.7897033123429601	14	0.04834845743757181	24	0.04706065494853956	16	0.04082915934947488	2	0.024301508165707485	6	0.02403545063911517	18	0.013304901677308108	21	0.0012744462109658893	7	0.0010391276715569695	8	9.35255636653125E-4	22	8.882227200708808E-4	0	8.290691936318842E-4	19	7.246000633233916E-4	3	6.941626786676072E-4	4	6.784439575347427E-4	13	6.664871620896529E-4	11	6.415136649660198E-4	9	6.319491193485143E-4	15	5.76492259059965E-4	5	5.60892693237772E-4	1	5.480020172207925E-4	10	4.967316233264149E-4	12	4.1934355014786295E-4	17	4.122796220117141E-4	20	3.995355955096973E-4	
3	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/10.txt	0	0.48971421476136023	6	0.1641414858896918	3	0.10962126129861126	16	0.08181492303034822	22	0.05565523262925243	13	0.037219514656405044	18	0.020766008107429866	23	0.02054643243835391	14	0.0031026947656786303	21	0.0019891285927003894	2	0.0017500024417632484	7	0.0016218484116278405	8	0.0014597271444991018	19	0.001130940397348514	24	0.001092719977693381	4	0.0010589009272147973	11	0.0010012609105132973	9	9.863327707453988E-4	15	8.997768804205017E-4	5	8.754294092258416E-4	1	8.553099157360553E-4	10	7.752881732907417E-4	12	6.545025114331242E-4	17	6.434772823481358E-4	20	6.235866763082928E-4	
4	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/11.txt	7	0.33327085913840926	2	0.2836208528626422	16	0.17456377282063512	6	0.13393744840716373	23	0.03543136725362863	21	0.01841331538185917	14	0.0028453390052646976	18	0.00245437638699241	8	0.0013386487859621938	22	0.0012713296977732243	0	0.0011866621552857853	19	0.0010371335462324965	24	0.001002083353076113	3	9.93567951521794E-4	4	9.710694536387051E-4	13	9.539554699541521E-4	11	9.182104390817203E-4	9	9.045205270647533E-4	15	8.25144091586423E-4	5	8.028161429154642E-4	1	7.843654786007174E-4	10	7.109812103292958E-4	12	6.002142219803721E-4	17	5.901034902691801E-4	20	5.71862728132483E-4	
5	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/12.txt	16	0.36465269301693237	3	0.3564285278133988	14	0.07412043423859295	22	0.05466633836719759	24	0.054377955912361546	19	0.036647280016439146	0	0.019039218845850265	1	0.018608329790233444	18	0.002628815957998282	23	0.002413141757103807	21	0.0019537853238129144	2	0.0017189080182654648	7	0.001593031056773437	8	0.0014337903955328932	6	0.001311029454012791	4	0.0010400861455395001	13	0.00102175582193742	11	9.834702891745593E-4	9	9.688073958365512E-4	15	8.8378944937148E-4	5	8.598745893334443E-4	10	7.615126846298026E-4	12	6.428731686475454E-4	17	6.320438382276945E-4	20	6.125066527963435E-4	
6	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/13.txt	20	0.7367102506443168	15	0.13096294744053344	16	0.07944378800404785	4	0.03783115438748274	14	0.001598782321686564	18	0.0013791023041640558	23	0.0012659575301842158	21	0.0010249746977205724	2	9.017557891123859E-4	7	8.357195163536754E-4	8	7.521803236744496E-4	22	7.1435405133592E-4	6	6.87778745162793E-4	0	6.667797658468802E-4	19	5.827603585641476E-4	24	5.630658233659025E-4	3	5.582810601296353E-4	13	5.360229969845062E-4	11	5.159380358107258E-4	9	5.082457399972309E-4	5	4.510985350016082E-4	1	4.407311953365598E-4	10	3.99496927439073E-4	12	3.372574886688424E-4	17	3.315763170793552E-4	
7	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/14.txt	6	0.4594501658765618	16	0.25451418944142085	18	0.13111204147063232	4	0.060416037328978836	23	0.04124253359844958	12	0.03027695456556562	5	0.010454638858040016	14	0.0017103843012195375	21	0.0010965224022987398	2	9.647022764203625E-4	7	8.940563837897754E-4	8	8.046857910849644E-4	22	7.64219079948688E-4	0	7.133239018256572E-4	19	6.234395734434415E-4	24	6.023702737858376E-4	3	5.972515132057664E-4	13	5.734397401691331E-4	11	5.519527610999634E-4	9	5.437235094868612E-4	15	4.960089106718522E-4	1	4.714961551277129E-4	10	4.273835554776596E-4	17	3.547217902625166E-4	20	3.4375694103254444E-4	
8	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/15.txt	18	0.8585369802883183	2	0.08535605987415834	16	0.014408679996630131	14	0.004727578103132462	23	0.003743419612546776	21	0.0030308365757365226	7	0.002471211516591096	8	0.002224187232730458	22	0.00211233544752801	6	0.0020337526199323296	0	0.001971658916833764	19	0.0017232146447648826	24	0.001664978165607185	3	0.0016508296842300655	4	0.001613448055626704	13	0.0015850128869614741	11	0.0015256219233765985	9	0.0015028759067629463	15	0.0013709906384073215	5	0.0013338923801578197	1	0.0013032362943834182	10	0.001181307111550564	12	9.97265917267781E-4	17	9.804667682890352E-4	20	9.501594384761947E-4	
9	file:/Users/jeriwieringa/Documents/mallet-2.0.7/../Github/Clio3/mining/hymns_women/16.txt	17	0.4319087007805652	16	0.3404555410092105	23	0.08519889771020124	14	0.03602369264297978	0	0.03436501579300086	21	0.01841331538185917	3	0.017582744770379334	11	0.01750738725793926	18	0.00245437638699241	2	0.0016048469420640336	7	0.001487322761258453	8	0.0013386487859621938	22	0.0012713296977732243	6	0.0012240338563033971	19	0.0010371335462324965	24	0.001002083353076113	4	9.710694536387051E-4	13	9.539554699541521E-4	9	9.045205270647533E-4	15	8.25144091586423E-4	5	8.028161429154642E-4	1	7.843654786007174E-4	10	7.109812103292958E-4	12	6.002142219803721E-4	20	5.71862728132483E-4	
